legacy_file,status,modern_recipe,reason
"aaxe",MIGRATED,"abyssalcraft:aaxe",""
"aboots",MIGRATED,"abyssalcraft:aboots",""
"abybrick_0",MIGRATED,"abyssalcraft:abybrick_0",""
"abybrick_1",MIGRATED,"abyssalcraft:abybrick_1",""
"abybutton",MIGRATED,"abyssalcraft:abybutton",""
"abydreadbrick_0",MIGRATED,"abyssalcraft:abydreadbrick_0",""
"abydreadbrick_1",MIGRATED,"abyssalcraft:abydreadbrick_1",""
"abydreadbrickfence",MIGRATED,"abyssalcraft:abydreadbrickfence",""
"abydreadbrickslab1_0",MIGRATED,"abyssalcraft:abydreadbrickslab1_0",""
"abydreadbrickstairs",MIGRATED,"abyssalcraft:abydreadbrickstairs",""
"abyfence",MIGRATED,"abyssalcraft:abyfence",""
"abyingot",REPLACED,"abyssalcraft:abyssalnite_ingot_from_block","equivalent modern recipe already exists"
"abyingot_alt",MIGRATED,"abyssalcraft:abyingot_alt",""
"abypplate",MIGRATED,"abyssalcraft:abypplate",""
"abyslab1_0",MIGRATED,"abyssalcraft:abyslab1_0",""
"abyssalcobblestoneslab1_0",MIGRATED,"abyssalcraft:abyssalcobblestoneslab1_0",""
"abyssalcobblestonestairs",MIGRATED,"abyssalcraft:abyssalcobblestonestairs",""
"abyssalcobblestonewall",MIGRATED,"abyssalcraft:abyssalcobblestonewall",""
"abyssalnitecobblestoneslab1_0",MIGRATED,"abyssalcraft:abyssalnitecobblestoneslab1_0",""
"abyssalnitecobblestonestairs",MIGRATED,"abyssalcraft:abyssalnitecobblestonestairs",""
"abyssalnitecobblestonewall",MIGRATED,"abyssalcraft:abyssalnitecobblestonewall",""
"abyssalnomicon",MIGRATED,"abyssalcraft:abyssalnomicon",""
"abystairs",MIGRATED,"abyssalcraft:abystairs",""
"ahelmet",MIGRATED,"abyssalcraft:ahelmet",""
"ahoe",MIGRATED,"abyssalcraft:ahoe",""
"alegs",MIGRATED,"abyssalcraft:alegs",""
"antidote_0",MIGRATED,"abyssalcraft:antidote_0",""
"antidote_1",MIGRATED,"abyssalcraft:antidote_1",""
"apick",MIGRATED,"abyssalcraft:apick",""
"aplate",MIGRATED,"abyssalcraft:aplate",""
"ashovel",MIGRATED,"abyssalcraft:ashovel",""
"asword",MIGRATED,"abyssalcraft:asword",""
"carboncluster",MIGRATED,"abyssalcraft:carboncluster",""
"cchunk",MIGRATED,"abyssalcraft:cchunk",""
"ccluster2",MIGRATED,"abyssalcraft:ccluster2",""
"ccluster3",MIGRATED,"abyssalcraft:ccluster3",""
"ccluster3_alt",MIGRATED,"abyssalcraft:ccluster3_alt",""
"ccluster4",MIGRATED,"abyssalcraft:ccluster4",""
"ccluster4_alt",MIGRATED,"abyssalcraft:ccluster4_alt",""
"ccluster5",MIGRATED,"abyssalcraft:ccluster5",""
"ccluster5_alt",MIGRATED,"abyssalcraft:ccluster5_alt",""
"ccluster6",MIGRATED,"abyssalcraft:ccluster6",""
"ccluster6_alt",MIGRATED,"abyssalcraft:ccluster6_alt",""
"ccluster6_alt_alt",MIGRATED,"abyssalcraft:ccluster6_alt_alt",""
"ccluster7",MIGRATED,"abyssalcraft:ccluster7",""
"ccluster7_alt",MIGRATED,"abyssalcraft:ccluster7_alt",""
"ccluster8",MIGRATED,"abyssalcraft:ccluster8",""
"ccluster8_alt",MIGRATED,"abyssalcraft:ccluster8_alt",""
"ccluster8_alt_alt",MIGRATED,"abyssalcraft:ccluster8_alt_alt",""
"ccluster9",MIGRATED,"abyssalcraft:ccluster9",""
"ccluster9_alt",MIGRATED,"abyssalcraft:ccluster9_alt",""
"ccluster9_alt_alt",MIGRATED,"abyssalcraft:ccluster9_alt_alt",""
"charm_0",MIGRATED,"abyssalcraft:charm_0",""
"cingot",REPLACED,"abyssalcraft:refined_coralium_ingot_from_block","equivalent modern recipe already exists"
"cingot_alt",MIGRATED,"abyssalcraft:cingot_alt",""
"coin_alt",MIGRATED,"abyssalcraft:coin_alt",""
"coralium",MIGRATED,"abyssalcraft:coralium",""
"coralium_alt",MIGRATED,"abyssalcraft:coralium_alt",""
"coralium_alt_alt",MIGRATED,"abyssalcraft:coralium_alt_alt",""
"coralium_alt_alt_alt",MIGRATED,"abyssalcraft:coralium_alt_alt_alt",""
"coralium_alt_alt_alt_alt",MIGRATED,"abyssalcraft:coralium_alt_alt_alt_alt",""
"coralium_alt_alt_alt_alt_alt",MIGRATED,"abyssalcraft:coralium_alt_alt_alt_alt_alt",""
"coralium_alt_alt_alt_alt_alt_alt",MIGRATED,"abyssalcraft:coralium_alt_alt_alt_alt_alt_alt",""
"coralium_alt_alt_alt_alt_alt_alt_alt",MIGRATED,"abyssalcraft:coralium_alt_alt_alt_alt_alt_alt_alt",""
"coraliumcobblestoneslab1_0",MIGRATED,"abyssalcraft:coraliumcobblestoneslab1_0",""
"coraliumcobblestonestairs",MIGRATED,"abyssalcraft:coraliumcobblestonestairs",""
"coraliumcobblestonewall",MIGRATED,"abyssalcraft:coraliumcobblestonewall",""
"coraliumstone",MIGRATED,"abyssalcraft:coraliumstone",""
"coraliumstone_alt",MIGRATED,"abyssalcraft:coraliumstone_alt",""
"coraxe",MIGRATED,"abyssalcraft:coraxe",""
"corboots",MIGRATED,"abyssalcraft:corboots",""
"corbootsp",MIGRATED,"abyssalcraft:corbootsp",""
"corbow",MIGRATED,"abyssalcraft:corbow",""
"corhelmet",MIGRATED,"abyssalcraft:corhelmet",""
"corhelmetp",MIGRATED,"abyssalcraft:corhelmetp",""
"corhoe",MIGRATED,"abyssalcraft:corhoe",""
"corlegs",MIGRATED,"abyssalcraft:corlegs",""
"corlegsp",MIGRATED,"abyssalcraft:corlegsp",""
"corpick",MIGRATED,"abyssalcraft:corpick",""
"corplate",MIGRATED,"abyssalcraft:corplate",""
"corplatep",MIGRATED,"abyssalcraft:corplatep",""
"corshovel",MIGRATED,"abyssalcraft:corshovel",""
"corsword",MIGRATED,"abyssalcraft:corsword",""
"crate",MIGRATED,"abyssalcraft:crate",""
"crystal_0",REPLACED,"abyssalcraft:crystal_iron_from_cluster","equivalent modern recipe already exists"
"crystal_0_alt",MIGRATED,"abyssalcraft:crystal_0_alt",""
"crystal_1",REPLACED,"abyssalcraft:crystal_gold_from_cluster","equivalent modern recipe already exists"
"crystal_10",MIGRATED,"abyssalcraft:crystal_10",""
"crystal_10_alt",REPLACED,"abyssalcraft:crystal_methane_from_cluster","equivalent modern recipe already exists"
"crystal_10_alt_alt",MIGRATED,"abyssalcraft:crystal_10_alt_alt",""
"crystal_11",REPLACED,"abyssalcraft:crystal_redstone_from_cluster","equivalent modern recipe already exists"
"crystal_11_alt",MIGRATED,"abyssalcraft:crystal_11_alt",""
"crystal_12",REPLACED,"abyssalcraft:crystal_abyssalnite_from_cluster","equivalent modern recipe already exists"
"crystal_12_alt",MIGRATED,"abyssalcraft:crystal_12_alt",""
"crystal_13",REPLACED,"abyssalcraft:crystal_coralium_from_cluster","equivalent modern recipe already exists"
"crystal_13_alt",MIGRATED,"abyssalcraft:crystal_13_alt",""
"crystal_14",REPLACED,"abyssalcraft:crystal_dreadium_from_cluster","equivalent modern recipe already exists"
"crystal_14_alt",MIGRATED,"abyssalcraft:crystal_14_alt",""
"crystal_15",REPLACED,"abyssalcraft:crystal_blaze_from_cluster","equivalent modern recipe already exists"
"crystal_15_alt",MIGRATED,"abyssalcraft:crystal_15_alt",""
"crystal_18",REPLACED,"abyssalcraft:crystal_silicon_from_cluster","equivalent modern recipe already exists"
"crystal_18_alt",MIGRATED,"abyssalcraft:crystal_18_alt",""
"crystal_19",REPLACED,"abyssalcraft:crystal_magnesium_from_cluster","equivalent modern recipe already exists"
"crystal_19_alt",MIGRATED,"abyssalcraft:crystal_19_alt",""
"crystal_1_alt",MIGRATED,"abyssalcraft:crystal_1_alt",""
"crystal_2",REPLACED,"abyssalcraft:crystal_sulfur_from_cluster","equivalent modern recipe already exists"
"crystal_20",REPLACED,"abyssalcraft:crystal_aluminium_from_cluster","equivalent modern recipe already exists"
"crystal_20_alt",MIGRATED,"abyssalcraft:crystal_20_alt",""
"crystal_21",MIGRATED,"abyssalcraft:crystal_21",""
"crystal_21_alt",REPLACED,"abyssalcraft:crystal_silica_from_cluster","equivalent modern recipe already exists"
"crystal_21_alt_alt",MIGRATED,"abyssalcraft:crystal_21_alt_alt",""
"crystal_22",MIGRATED,"abyssalcraft:crystal_22",""
"crystal_22_alt",REPLACED,"abyssalcraft:crystal_alumina_from_cluster","equivalent modern recipe already exists"
"crystal_22_alt_alt",MIGRATED,"abyssalcraft:crystal_22_alt_alt",""
"crystal_23",MIGRATED,"abyssalcraft:crystal_23",""
"crystal_23_alt",REPLACED,"abyssalcraft:crystal_magnesia_from_cluster","equivalent modern recipe already exists"
"crystal_23_alt_alt",MIGRATED,"abyssalcraft:crystal_23_alt_alt",""
"crystal_24",REPLACED,"abyssalcraft:crystal_zinc_from_cluster","equivalent modern recipe already exists"
"crystal_24_alt",MIGRATED,"abyssalcraft:crystal_24_alt",""
"crystal_25",REPLACED,"abyssalcraft:crystal_calcium_from_cluster","equivalent modern recipe already exists"
"crystal_25_alt",MIGRATED,"abyssalcraft:crystal_25_alt",""
"crystal_26",REPLACED,"abyssalcraft:crystal_beryllium_from_cluster","equivalent modern recipe already exists"
"crystal_26_alt",MIGRATED,"abyssalcraft:crystal_26_alt",""
"crystal_27",REPLACED,"abyssalcraft:crystal_beryl_from_cluster","equivalent modern recipe already exists"
"crystal_27_alt",MIGRATED,"abyssalcraft:crystal_27_alt",""
"crystal_2_alt",MIGRATED,"abyssalcraft:crystal_2_alt",""
"crystal_3",REPLACED,"abyssalcraft:crystal_carbon_from_cluster","equivalent modern recipe already exists"
"crystal_3_alt",MIGRATED,"abyssalcraft:crystal_3_alt",""
"crystal_4",REPLACED,"abyssalcraft:crystal_oxygen_from_cluster","equivalent modern recipe already exists"
"crystal_4_alt",MIGRATED,"abyssalcraft:crystal_4_alt",""
"crystal_5",REPLACED,"abyssalcraft:crystal_hydrogen_from_cluster","equivalent modern recipe already exists"
"crystal_5_alt",MIGRATED,"abyssalcraft:crystal_5_alt",""
"crystal_6",REPLACED,"abyssalcraft:crystal_nitrogen_from_cluster","equivalent modern recipe already exists"
"crystal_6_alt",MIGRATED,"abyssalcraft:crystal_6_alt",""
"crystal_7",REPLACED,"abyssalcraft:crystal_phosphorus_from_cluster","equivalent modern recipe already exists"
"crystal_7_alt",MIGRATED,"abyssalcraft:crystal_7_alt",""
"crystal_8",REPLACED,"abyssalcraft:crystal_potassium_from_cluster","equivalent modern recipe already exists"
"crystal_8_alt",MIGRATED,"abyssalcraft:crystal_8_alt",""
"crystal_9",MIGRATED,"abyssalcraft:crystal_9",""
"crystal_9_alt",REPLACED,"abyssalcraft:crystal_nitrate_from_cluster","equivalent modern recipe already exists"
"crystal_9_alt_alt",MIGRATED,"abyssalcraft:crystal_9_alt_alt",""
"crystalbag_huge",MIGRATED,"abyssalcraft:crystalbag_huge",""
"crystalbag_large",MIGRATED,"abyssalcraft:crystalbag_large",""
"crystalbag_medium",MIGRATED,"abyssalcraft:crystalbag_medium",""
"crystalbag_small",MIGRATED,"abyssalcraft:crystalbag_small",""
